START_DATE,END_DATE,START,STOP,MILES,PURPOSE
2024-09-08 09:55:00,2024-09-08 10:10:00,Lyon#,Saint-Denis,3.65,Meeting
2024-02-03 18:31:00,2024-02-03 19:05:00,Villeurbanne,Bron,8.93,Business
2024-11-12 13:49:00,2024-11-12 14:30:00,Boulogne-Billancourt,Versailles,11.42,Meeting
2024-02-20 12:40:00,2024-02-20 13:10:00,Oullins,Bron,10.23,Meeting
2024-05-27 15:44:00,2024-05-27 16:25:00,Boulogne-Billancourt,Nanterre,13.42,Business
2024-10-05 13:41:00,2024-10-05 14:08:00,Nanterre,Issy-les-Moulineaux,8.58,Commute
2024-08-27 15:44:00,2024-08-27 16:07:00,Paris,Paris,5.38,Commute
2024-04-27 06:48:00,2024-04-27 07:07:00,Bron,Bron,3.57,Business
2024-09-08 08:30:00,2024-09-08 08:53:00,Issy-les-Moulineaux,Issy-les-Moulineaux,3.02,Meeting
2024-10-08 07:29:00,2024-10-08 07:51:00,Salon-de-Provence,Salon-de-Provence,4.06,Customer Visit
2024-04-06 22:23:00,2024-04-06 22:56:00,Issy-les-Moulineaux,Saint-Denis,8.6,Commute
2024-12-23 21:07:00,2024-12-23 21:43:00,Marse!lle,Saint-Priest,8.31,Commute
2024-03-01 10:31:00,2024-03-01 10:48:00,Boulogne-Billancourt,Paris,6.62,Commute
2024-11-02 22:47:00,2024-11-02 23:15:00,Aubagne,La Ciotat,7.86,Commute
2024-10-27 21:55:00,2024-10-27 22:33:00,Issy-les-Moulineaux,Nanterre,13.41,Airport
2024-12-23 13:36:00,2024-12-23 14:03:00,Caluire-et-Cuire,Bron,6.35,Errand
2024-01-19 10:32:00,2024-01-19 11:01:00,Vénissieux,Oullins,12.27,Commute
2024-07-28 10:04:00,2024-07-28 10:18:00,Issy-les-Moulineaux,Saint-Denis,6.22,Airport
2024-11-16 21:55:00,2024-11-16 22:36:00,Créteil,Paris,13.75,Meal/Entertain
2024-11-20 09:28:00,2024-11-20 09:46:00,Créteil,Boulogne-Billancourt,1.44,Meal/Entertain
2024-04-02 11:11:00,2024-04-02 11:41:00,Nanterre,Versailles,5.49,Meeting
2024-08-23 14:42:00,2024-08-23 15:34:00,Aix123,Martigues,12.21,Meeting
2024-08-21 15:12:00,2024-08-21 15:35:00,Saint-Denis,Saint-Denis,3.66,Airport
2024-10-16 07:58:00,2024-10-16 08:33:00,Versailles,Créteil,6.52,Commute
2024-04-07 14:43:00,2024-04-07 15:30:00,Oeiras,Amadora,15.19,Business
2024-02-16 15:20:00,2024-02-16 15:48:00,Aix-en-Provence,Salon-de-Provence,6.15,Airport
2024-05-11 21:51:00,2024-05-11 22:13:00,Saint-Denis,Nanterre,5.42,Customer Visit
2024-10-12 17:05:00,2024-10-12 17:37:00,Alcorcón,Lisb0n,8.58,Meal/Entertain
2024-07-09 09:43:00,2024-07-09 10:11:00,Nanterre,Lisb0n,5.28,Customer Visit
2024-01-24 07:19:00,2024-01-24 07:45:00,Saint-Denis,Paris,5.18,Business
2024-03-20 19:41:00,2024-03-20 19:58:00,Saint-Denis,Saint-Denis,1.2,Meeting
2024-12-17 17:34:00,2024-12-17 17:51:00,Vénissieux,Vénissieux,2.16,Business
2024-04-18 06:03:00,2024-04-18 06:42:00,Nanterre,Paris,12.04,Business
2024-11-01 06:17:00,2024-11-01 06:47:00,Saint-Denis,Créteil,9.33,Customer Visit
2024-07-02 13:37:00,2024-07-02 14:04:00,Nanterre,Paris,11.53,Business
2024-08-19 22:14:00,2024-08-19 22:49:00,Créteil,Paris,8.36,Meeting
2024-09-02 18:27:00,2024-09-02 18:37:00,Pozuelo de Alarcón,Leganés,3.38,Business
2024-11-01 22:18:00,2024-11-01 22:49:00,Lisbon,Cascais,7.21,Commute
2024-04-26 19:21:00,2024-04-26 19:32:00,Créteil,Créteil,1.58,Commute
2024-08-30 08:05:00,2024-08-30 08:13:00,Vitrolles,Salon-de-Provence,0.88,Airport
2024-07-29 17:55:00,2024-07-29 18:13:00,Créteil,Boulogne-Billancourt,2.89,Airport
2024-12-02 21:14:00,2024-12-02 21:41:00,Fuenlabrada,Fuenlabrada,2.92,Business
2024-11-14 23:01:00,2024-11-14 23:50:00,Lyon,Saint-Priest,12.29,Customer Visit
2024-10-16 18:04:00,2024-10-16 18:35:00,Marseille,Salon-de-Provence,9.29,Errand
2024-06-08 16:49:00,2024-06-08 17:03:00,Créteil,Versailles,0.8,Business
2024-08-14 19:17:00,2024-08-14 19:36:00,Getafe,Getafe,1.79,Commute
2024-11-02 07:00:00,2024-11-02 07:19:00,Lyon,Oullins,3.91,Commute
2024-03-30 10:24:00,2024-03-30 10:57:00,Pozuelo de Alarcón,Leganés,5.46,Airport
2024-06-09 19:36:00,2024-06-09 19:58:00,Saint-Priest,Lyon,2.59,Shopping
2024-02-24 13:27:00,2024-02-24 13:44:00,Versailles,Versailles,2.06,Business
2024-11-20 09:33:00,2024-11-20 10:21:00,Vénissieux,Villeurbanne,15.71,Business
2024-03-19 08:11:00,2024-03-19 08:48:00,Saint-Priest,Oullins,9.81,Business
2024-11-17 16:09:00,2024-11-17 16:32:00,Caluire-et-Cuire,Bron,5.47,Errand
2024-05-26 08:41:00,2024-05-26 09:02:00,Salon-de-Provence,Marseille,7.44,Business
2024-10-19 12:20:00,2024-10-19 12:46:00,La Ciotat,Martigues,9.92,Commute
2024-01-21 13:45:00,2024-01-21 14:08:00,Cascais,Cascais,2.44,Meeting
2024-11-27 16:04:00,2024-11-27 16:12:00,Villeurbanne,Bron,2.6,Customer Visit
2024-10-25 10:58:00,2024-10-25 11:29:00,Vénissieux,Oullins,13.55,Commute
2024-12-09 22:05:00,2024-12-09 22:23:00,Aubagne,Aubagne,2.63,Customer Visit
2024-05-31 09:32:00,2024-05-31 09:50:00,Vénissieux,Villeurbanne,4.32,Business
2024-04-02 11:46:00,2024-04-02 12:45:00,Madrid,Fuenlabrada,14.93,Business
2024-08-28 12:23:00,2024-08-28 12:48:00,Aix-en-Provence,Martigues,6.87,Commute
2024-04-12 10:55:00,2024-04-12 11:47:00,Oullins,Bron,15.8,Meal/Entertain
2024-09-19 10:53:00,2024-09-19 11:36:00,Móstoles,Pozuelo de Alarcón,13.48,Commute
2024-04-30 18:05:00,2024-04-30 18:22:00,Versailles,Unknown Location,1.26,Meeting
2024-08-28 20:39:00,2024-08-28 21:07:00,Unknown Location,Par1s,10.9,Customer Visit
2024-05-01 15:07:00,2024-05-01 15:38:00,Móstoles,Fuenlabrada,11.32,Customer Visit
2024-03-14 15:27:00,2024-03-14 15:49:00,Lyon#,Alcorcón,1.79,Meeting
2024-09-16 23:01:00,2024-09-16 23:43:00,Saint-Priest,Caluire-et-Cuire,10.16,Customer Visit
2024-12-02 09:49:00,2024-12-02 10:14:00,Vitrolles,Marseille,8.23,Commute
2024-03-10 08:45:00,2024-03-10 09:31:00,Nanterre,Issy-les-Moulineaux,12.05,Meeting
2024-10-05 21:16:00,2024-10-05 22:08:00,Paris,Boulogne-Billancourt,15.47,Meeting
2024-07-16 16:11:00,2024-07-16 16:44:00,Issy-les-Moulineaux,Créteil,7.36,Airport
2024-04-02 23:18:00,2024-04-02 23:44:00,Sintra,Lisbon,10.52,Commute
2024-06-29 19:17:00,2024-06-29 19:26:00,Vitrolles,Salon-de-Provence,2.34,Airport
2024-03-14 20:02:00,2024-03-14 20:36:00,Créteil,Nanterre,11.58,Meal/Entertain
2024-02-09 10:33:00,2024-02-09 11:13:00,Vitrolles,Martigues,11.04,Commute
2024-05-13 20:13:00,2024-05-13 20:25:00,Paris,Paris,3.86,Commute
2024-08-15 08:51:00,2024-08-15 09:34:00,Cascais,Amadora,13.5,Business
2024-09-17 13:07:00,2024-09-17 13:15:00,Nanterre,Créteil,0.8,Customer Visit
2024-02-14 08:19:00,2024-02-14 08:28:00,Versailles,Versailles,1.93,Meeting
2024-08-18 20:43:00,2024-08-18 21:17:00,Bron,Saint-Priest,7.06,Meeting
2024-09-22 10:19:00,2024-09-22 10:42:00,Móstoles,Getafe,8.76,Customer Visit
2024-11-21 23:17:00,2024-11-21 23:33:00,Vitrolles,Martigues,6.15,Commute
2024-10-15 07:52:00,2024-10-15 08:28:00,Caluire-et-Cuire,Saint-Priest,10.93,Customer Visit
2024-01-16 21:56:00,2024-01-16 22:32:00,Almada,Loures,7.57,Meeting
2024-09-04 20:13:00,2024-09-04 20:29:00,Cascais,Almada,4.39,Commute
2024-09-20 23:06:00,2024-09-20 23:33:00,Leganés,Alcorcón,11.25,Customer Visit
2024-03-22 16:59:00,2024-03-22 17:22:00,Boulogne-Billancourt,Boulogne-Billancourt,4.26,Commute
2024-05-03 12:37:00,2024-05-03 13:06:00,Alcorcón,Móstoles,4.63,Meeting
2024-08-08 10:56:00,2024-08-08 11:21:00,Oullins,Bron,8.53,Customer Visit
2024-10-08 14:52:00,2024-10-08 15:18:00,Lyon,Saint-Priest,4.55,Meeting
2024-04-11 22:25:00,2024-04-11 22:53:00,Paris,Versailles,6.88,Customer Visit
2024-06-12 11:25:00,2024-06-12 11:43:00,Nanterre,Créteil,2.58,Shopping
2024-01-09 17:21:00,2024-01-09 17:55:00,Nanterre,Créteil,10.14,Commute
2024-10-25 21:10:00,2024-10-25 21:30:00,Salon-de-Provence,Martigues,4.33,Airport
2024-08-13 16:26:00,2024-08-13 16:36:00,Alcorcón,Alcorcón,3.05,Business
2024-09-22 12:35:00,2024-09-22 12:52:00,Oullins,Bron,7.47,Airport
2024-04-08 13:17:00,2024-04-08 13:58:00,Vénissieux,Caluire-et-Cuire,12.01,Meeting
2024-06-27 23:59:00,2024-06-28 00:34:00,Oeiras,Almada,6.34,Commute
2024-05-27 08:22:00,2024-05-27 08:59:00,Saint-Denis,Versailles,12.08,Commute
2024-11-11 13:15:00,2024-11-11 13:40:00,Aix-en-Provence,Martigues,5.75,Business
2024-10-08 11:26:00,2024-10-08 11:45:00,Boulogne-Billancourt,Boulogne-Billancourt,4.35,Business
2024-04-28 23:47:00,2024-04-29 00:02:00,Saint-Priest,Vénissieux,5.7,Meeting
2024-07-22 21:11:00,2024-07-22 21:41:00,Amadora,Oeiras,14.35,
2024-11-24 23:33:00,2024-11-24 23:49:00,Lisbon,Lisbon,2.92,Commute
2024-06-21 15:36:00,2024-06-21 15:53:00,Alcorcón,Madrid,4.96,Business
2024-02-18 11:08:00,2024-02-18 11:47:00,Martigues,Aubagne,14.88,Commute
2024-07-03 13:03:00,2024-07-03 13:30:00,Versailles,Nanterre,12.16,Commute
2024-05-31 17:39:00,2024-05-31 17:59:00,Créteil,Issy-les-Moulineaux,7.41,Meeting
2024-12-14 08:33:00,2024-12-14 08:47:00,Bron,Saint-Priest,3.59,Customer Visit
2024-09-23 20:07:00,2024-09-23 20:26:00,Saint-Denis,Saint-Denis,4.64,Business
2024-10-15 07:35:00,2024-10-15 07:54:00,Caluire-et-Cuire,Lyon,0.8,Commute
2024-10-04 07:59:00,2024-10-04 08:38:00,Aubagne,Marseille,8.34,Airport
2024-07-14 20:55:00,2024-07-14 21:15:00,Vénissieux,Villeurbanne,2.59,Commute
2024-04-24 06:48:00,2024-04-24 07:19:00,Lyon#,Boulogne-Billancourt,6.13,Meeting
2024-04-06 09:02:00,2024-04-06 09:29:00,Aubagne,Aix-en-Provence,5.08,Business
2024-01-23 18:28:00,2024-01-23 18:52:00,Madrid,Getafe,9.45,Commute
2024-12-10 16:15:00,2024-12-10 16:35:00,Madrid,Madrid,4.22,Meeting
2024-08-06 23:31:00,2024-08-07 00:04:00,Aix-en-Provence,Aubagne,8.37,Meeting
2024-08-30 13:54:00,2024-08-30 14:19:00,Aubagne,Vitrolles,6.97,Customer Visit
2024-03-09 18:15:00,2024-03-09 18:40:00,Versailles,Créteil,4.15,Meeting
2024-11-04 07:55:00,2024-11-04 08:11:00,Versailles,Paris,0.8,Airport
2024-01-08 12:59:00,2024-01-08 13:29:00,Martigues,Aubagne,6.62,Commute
2024-05-24 18:29:00,2024-05-24 18:53:00,Salon-de-Provence,Aix-en-Provence,6.15,Meeting
2024-06-12 12:23:00,2024-06-12 12:45:00,Saint-Denis,Versailles,1.89,Customer Visit
2024-04-10 16:14:00,2024-04-10 16:43:00,Fuenlabrada,Fuenlabrada,6.46,Commute
2024-06-29 11:08:00,2024-06-29 11:40:00,Saint-Priest,Vénissieux,8.12,Commute
2024-12-08 07:48:00,2024-12-08 08:31:00,Par1s,Lisbon,16.85,Shopping
2024-01-09 06:34:00,2024-01-09 07:06:00,Créteil,Lisb0n,4.72,Meeting
2024-02-19 22:09:00,2024-02-19 22:19:00,La Ciotat,Marseille,1.54,Business
2024-05-04 13:19:00,2024-05-04 13:59:00,Nanterre,Saint-Denis,8.4,Commute
2024-12-25 11:05:00,2024-12-25 11:36:00,Salon-de-Provence,Marseille,12.16,Meeting
2024-12-20 21:17:00,2024-12-20 21:41:00,Móstoles,Madrid,10.94,Business
2024-12-30 18:59:00,2024-12-30 19:47:00,Sintra,Lisbon,12.27,Meeting
2024-03-12 08:32:00,2024-03-12 09:16:00,Issy-les-Moulineaux,Créteil,16.42,Commute
2024-05-19 20:31:00,2024-05-19 20:51:00,Boulogne-Billancourt,Versailles,3.6,Business
2024-02-07 08:17:00,2024-02-07 08:40:00,Villeurbanne,Oullins,4.69,Customer Visit
2024-02-22 10:05:00,2024-02-22 10:41:00,Martigues,Vitrolles,8.86,Customer Visit
2024-01-07 15:26:00,2024-01-07 15:48:00,Bron,Bron,4.7,Errand
2024-06-03 14:31:00,2024-06-03 15:03:00,Amadora,Oeiras,11.55,Business
2024-04-10 20:06:00,2024-04-10 20:26:00,Nanterre,Madri$d,1.55,Meeting
2024-11-29 10:19:00,2024-11-29 11:15:00,Saint-Denis,Nanterre,16.78,Customer Visit
2024-05-04 16:24:00,2024-05-04 16:49:00,Nanterre,Nanterre,3.93,Meal/Entertain
2024-04-17 20:51:00,2024-04-17 21:45:00,Caluire-et-Cuire,Saint-Priest,11.78,Shopping
2024-12-03 10:45:00,2024-12-03 11:33:00,Pozuelo de Alarcón,Fuenlabrada,15.45,Commute
2024-07-03 23:38:00,2024-07-03 23:54:00,Caluire-et-Cuire,Bron,0.8,Meeting
2024-11-26 18:48:00,2024-11-26 19:04:00,Fuenlabrada,Getafe,6.31,Meeting
2024-07-19 20:49:00,2024-07-19 21:16:00,Paris,Créteil,8.39,Commute
2024-03-13 17:19:00,2024-03-13 17:29:00,Paris,Versailles,2.75,Business
2024-02-28 06:54:00,2024-02-28 07:21:00,Vénissieux,Caluire-et-Cuire,7.64,Customer Visit
2024-08-24 13:51:00,2024-08-24 14:11:00,Fuenlabrada,Getafe,3.64,Meeting
2024-04-19 12:17:00,2024-04-19 12:45:00,Aubagne,Salon-de-Provence,6.25,Business
2024-02-28 14:42:00,2024-02-28 15:13:00,Paris,Créteil,6.54,Business
2024-12-27 15:58:00,2024-12-27 16:14:00,La Ciotat,Aubagne,4.95,Customer Visit
2024-08-02 10:36:00,2024-08-02 11:00:00,Paris,Boulogne-Billancourt,6.34,Meeting
2024-11-13 07:55:00,2024-11-13 08:17:00,Martigues,Par1s,3.59,Customer Visit
2024-07-31 20:31:00,2024-07-31 21:00:00,Versailles,Créteil,6.73,Airport
2024-02-27 09:17:00,2024-02-27 09:52:00,Getafe,Alcorcón,9.08,Meeting
2024-02-22 13:19:00,2024-02-22 13:57:00,Oullins,Lyon#,12.17,
2024-10-28 17:55:00,2024-10-28 18:08:00,Oullins,Oullins,2.68,Customer Visit
2024-12-26 15:18:00,2024-12-26 15:49:00,Boulogne-Billancourt,Nanterre,10.5,Commute
2024-05-21 10:44:00,2024-05-21 11:04:00,Saint-Priest,Villeurbanne,3.0,Shopping
2024-02-08 08:25:00,2024-02-08 08:54:00,Salon-de-Provence,Martigues,6.55,Commute
2024-02-17 20:40:00,2024-02-17 21:08:00,Oeiras,Sintra,10.06,Errand
2024-10-22 10:36:00,2024-10-22 11:15:00,Saint-Denis,Versailles,10.88,Commute
2024-03-21 20:29:00,2024-03-21 20:46:00,Madri$d,Pozuelo de Alarcón,5.19,Shopping
2024-07-03 14:05:00,2024-07-03 14:53:00,Aix-en-Provence,Aubagne,13.11,Business
2024-09-01 08:08:00,2024-09-01 08:29:00,Versailles,Issy-les-Moulineaux,7.47,Business
2024-09-01 08:14:00,2024-09-01 08:39:00,Lyon,Villeurbanne,5.38,Airport
2024-12-12 10:04:00,2024-12-12 10:38:00,Nanterre,Marse!lle,13.55,Meeting
2024-08-14 12:05:00,2024-08-14 12:50:00,Nanterre,Issy-les-Moulineaux,14.38,Meeting
2024-11-03 15:49:00,2024-11-03 16:13:00,Créteil,Aix123,7.53,Commute
2024-01-28 13:31:00,2024-01-28 14:10:00,Vitrolles,Martigues,10.77,Commute
2024-12-15 11:48:00,2024-12-15 13:00:00,Marseille,Aix-en-Provence,18.95,Commute
2024-11-17 22:49:00,2024-11-17 23:13:00,Saint-Denis,Saint-Denis,3.17,Meeting
2024-04-14 10:34:00,2024-04-14 11:11:00,Saint-Denis,Boulogne-Billancourt,9.78,Business
2024-02-14 19:07:00,2024-02-14 19:28:00,Fuenlabrada,Madrid,6.72,Business
2024-03-24 21:22:00,2024-03-24 22:07:00,Créteil,Boulogne-Billancourt,12.99,Airport
2024-08-07 14:33:00,2024-08-07 14:53:00,Aix-en-Provence,Salon-de-Provence,9.19,Commute
2024-03-26 17:10:00,2024-03-26 17:40:00,Lyon,Saint-Priest,5.01,Errand
2024-08-29 17:24:00,2024-08-29 17:32:00,Saint-Priest,Saint-Priest,3.1,Commute
2024-06-12 14:52:00,2024-06-12 15:28:00,Lisbon,Almada,8.22,Shopping
2024-05-24 15:20:00,2024-05-24 15:32:00,Lyon,Lyon,4.52,Errand
2024-10-29 21:49:00,2024-10-29 21:59:00,Vénissieux,Bron,0.8,Commute
2024-01-01 18:54:00,2024-01-01 19:18:00,Oullins,Lyon,9.4,Meal/Entertain
2024-02-17 07:58:00,2024-02-17 08:19:00,Boulogne-Billancourt,Paris,8.09,Airport
2024-10-17 07:27:00,2024-10-17 08:11:00,Vénissieux,Oullins,10.24,Business
2024-05-19 13:04:00,2024-05-19 13:36:00,Issy-les-Moulineaux,Versailles,9.53,Commute
2024-04-16 20:19:00,2024-04-16 20:43:00,Madrid,Madrid,4.55,Meal/Entertain
2024-12-30 13:22:00,2024-12-30 13:50:00,Issy-les-Moulineaux,Créteil,8.08,Business
2024-10-08 13:06:00,2024-10-08 13:35:00,Issy-les-Moulineaux,Paris,7.28,Meeting
2024-11-18 08:37:00,2024-11-18 08:57:00,Paris,Paris,2.23,Commute
2024-08-24 07:10:00,2024-08-24 07:34:00,Paris,Issy-les-Moulineaux,6.28,Business
2024-08-16 10:02:00,2024-08-16 10:17:00,Aubagne,Aubagne,2.85,Commute
2024-03-11 19:12:00,2024-03-11 19:30:00,Aubagne,Martigues,5.97,Commute
2024-10-16 22:20:00,2024-10-16 23:19:00,Issy-les-Moulineaux,Paris,16.34,Commute
2024-10-26 13:10:00,2024-10-26 13:34:00,Boulogne-Billancourt,Boulogne-Billancourt,3.62,Meeting
2024-07-17 17:59:00,2024-07-17 18:24:00,Issy-les-Moulineaux,Créteil,5.11,Meeting
2024-10-15 10:36:00,2024-10-15 11:06:00,Saint-Denis,Issy-les-Moulineaux,5.28,Shopping
2024-11-04 13:01:00,2024-11-04 13:07:00,Alcorcón,Lisb0n,0.8,Business
2024-12-26 10:49:00,2024-12-26 11:33:00,Boulogne-Billancourt,Nanterre,16.07,Business
2024-06-14 10:10:00,2024-06-14 10:25:00,Lyon,Oullins,4.26,Commute
2024-10-28 11:24:00,2024-10-28 11:50:00,Aubagne,Aix-en-Provence,6.96,Business
2024-06-11 13:40:00,2024-06-11 13:48:00,Créteil,Créteil,2.66,Business
2024-12-09 16:28:00,2024-12-09 16:37:00,Par1s,Créteil,2.5,Customer Visit
2024-08-02 11:56:00,2024-08-02 12:49:00,Nanterre,Issy-les-Moulineaux,11.74,Commute
2024-02-07 07:18:00,2024-02-07 07:34:00,Lyon#,Bron,3.56,Business
2024-11-10 21:45:00,2024-11-10 22:04:00,Marse!lle,Nanterre,7.86,Commute
2024-06-01 13:06:00,2024-06-01 13:19:00,Getafe,Getafe,1.35,Airport
2024-01-14 12:10:00,2024-01-14 12:34:00,Getafe,Getafe,3.8,Business
2024-10-05 18:11:00,2024-10-05 18:41:00,Lyon,Caluire-et-Cuire,8.55,Business
2024-12-07 09:05:00,2024-12-07 09:29:00,Paris,Saint-Denis,7.78,Customer Visit
2024-08-02 23:43:00,2024-08-03 00:51:00,Oullins,Caluire-et-Cuire,17.04,Customer Visit
2024-12-12 10:07:00,2024-12-12 10:59:00,Alcorcón,Móstoles,14.33,Customer Visit
2024-12-15 19:12:00,2024-12-15 19:40:00,Amadora,Oeiras,4.41,Business
2024-05-21 22:29:00,2024-05-21 23:08:00,Leganés,Marse!lle,9.94,Meeting
2024-10-25 09:59:00,2024-10-25 10:24:00,La Ciotat,Marseille,7.64,Meeting
2024-05-21 18:09:00,2024-05-21 18:50:00,Pozuelo de Alarcón,Leganés,11.04,Business
2024-05-17 17:01:00,2024-05-17 17:17:00,Bron,Vénissieux,6.05,Airport
2024-08-14 16:17:00,2024-08-14 16:38:00,Issy-les-Moulineaux,Créteil,3.7,Meal/Entertain
2024-01-29 22:50:00,2024-01-29 23:09:00,Versailles,Saint-Denis,0.8,Errand
2024-05-07 07:29:00,2024-05-07 08:03:00,Villeurbanne,Saint-Priest,9.29,Customer Visit
2024-05-03 17:31:00,2024-05-03 17:55:00,Nanterre,Créteil,7.75,Airport
2024-07-16 07:10:00,2024-07-16 07:42:00,Móstoles,Leganés,13.43,Commute
2024-12-15 06:30:00,2024-12-15 07:32:00,Boulogne-Billancourt,Issy-les-Moulineaux,16.67,Meeting
2024-07-11 17:29:00,2024-07-11 17:57:00,Marseille,Martigues,9.8,Commute
2024-07-10 23:41:00,2024-07-11 00:14:00,Salon-de-Provence,La Ciotat,4.89,
2024-11-29 15:12:00,2024-11-29 15:28:00,Aubagne,Aubagne,3.05,Meeting
2024-05-31 14:58:00,2024-05-31 15:15:00,Pozuelo de Alarcón,Móstoles,5.25,Meeting
2024-11-22 21:58:00,2024-11-22 22:35:00,Créteil,Boulogne-Billancourt,10.74,Airport
